Agent Name,Round,Choice,Score
Selfish GPT-3.5-Turbo,1,COOPERATE,3
Grim Trigger,1,COOPERATE,3
Selfish GPT-3.5-Turbo,2,DEFECT,8
Grim Trigger,2,COOPERATE,3
Selfish GPT-3.5-Turbo,3,DEFECT,8
Grim Trigger,3,DEFECT,3
Selfish GPT-3.5-Turbo,4,DEFECT,8
Grim Trigger,4,DEFECT,3
Selfish GPT-3.5-Turbo,5,COOPERATE,8
Grim Trigger,5,DEFECT,8
Selfish GPT-3.5-Turbo,6,COOPERATE,8
Grim Trigger,6,DEFECT,13
Selfish GPT-3.5-Turbo,7,DEFECT,8
Grim Trigger,7,DEFECT,13
Selfish GPT-3.5-Turbo,8,COOPERATE,8
Grim Trigger,8,DEFECT,18
Selfish GPT-3.5-Turbo,9,DEFECT,8
Grim Trigger,9,DEFECT,18
Selfish GPT-3.5-Turbo,10,DEFECT,8
Grim Trigger,10,DEFECT,18
