Agent Name,Round,Choice,Score
Default GPT-4-omni,1,COOPERATE,3
Tit For Tat,1,COOPERATE,3
Default GPT-4-omni,2,COOPERATE,6
Tit For Tat,2,COOPERATE,6
Default GPT-4-omni,3,COOPERATE,9
Tit For Tat,3,COOPERATE,9
Default GPT-4-omni,4,COOPERATE,12
Tit For Tat,4,COOPERATE,12
Default GPT-4-omni,5,COOPERATE,15
Tit For Tat,5,COOPERATE,15
Default GPT-4-omni,6,COOPERATE,18
Tit For Tat,6,COOPERATE,18
Default GPT-4-omni,7,COOPERATE,21
Tit For Tat,7,COOPERATE,21
Default GPT-4-omni,8,COOPERATE,24
Tit For Tat,8,COOPERATE,24
Default GPT-4-omni,9,COOPERATE,27
Tit For Tat,9,COOPERATE,27
Default GPT-4-omni,10,COOPERATE,30
Tit For Tat,10,COOPERATE,30
