Agent Name,Round,Choice,Score
Default GPT-4-omni,1,COOPERATE,3
Default GPT-4-omni,1,COOPERATE,3
Default GPT-4-omni,2,COOPERATE,6
Default GPT-4-omni,2,COOPERATE,6
Default GPT-4-omni,3,COOPERATE,9
Default GPT-4-omni,3,COOPERATE,9
Default GPT-4-omni,4,COOPERATE,12
Default GPT-4-omni,4,COOPERATE,12
Default GPT-4-omni,5,COOPERATE,15
Default GPT-4-omni,5,COOPERATE,15
Default GPT-4-omni,6,COOPERATE,18
Default GPT-4-omni,6,COOPERATE,18
Default GPT-4-omni,7,COOPERATE,21
Default GPT-4-omni,7,COOPERATE,21
Default GPT-4-omni,8,COOPERATE,24
Default GPT-4-omni,8,COOPERATE,24
Default GPT-4-omni,9,COOPERATE,27
Default GPT-4-omni,9,COOPERATE,27
Default GPT-4-omni,10,COOPERATE,30
Default GPT-4-omni,10,COOPERATE,30
Default GPT-4-omni,11,COOPERATE,33
Default GPT-4-omni,11,COOPERATE,33
Default GPT-4-omni,12,COOPERATE,36
Default GPT-4-omni,12,COOPERATE,36
Default GPT-4-omni,13,COOPERATE,39
Default GPT-4-omni,13,COOPERATE,39
Default GPT-4-omni,14,COOPERATE,42
Default GPT-4-omni,14,COOPERATE,42
Default GPT-4-omni,15,COOPERATE,45
Default GPT-4-omni,15,COOPERATE,45
Default GPT-4-omni,16,COOPERATE,48
Default GPT-4-omni,16,COOPERATE,48
Default GPT-4-omni,17,COOPERATE,51
Default GPT-4-omni,17,COOPERATE,51
Default GPT-4-omni,18,COOPERATE,54
Default GPT-4-omni,18,COOPERATE,54
Default GPT-4-omni,19,COOPERATE,57
Default GPT-4-omni,19,COOPERATE,57
Default GPT-4-omni,20,COOPERATE,60
Default GPT-4-omni,20,COOPERATE,60
