Agent Name,Round,Choice,Score
Default GPT-3.5-Turbo,1,DEFECT,0
Suspicious Tit For Tat,1,DEFECT,0
Default GPT-3.5-Turbo,2,COOPERATE,0
Suspicious Tit For Tat,2,DEFECT,5
Default GPT-3.5-Turbo,3,DEFECT,5
Suspicious Tit For Tat,3,COOPERATE,5
Default GPT-3.5-Turbo,4,COOPERATE,5
Suspicious Tit For Tat,4,DEFECT,10
Default GPT-3.5-Turbo,5,COOPERATE,8
Suspicious Tit For Tat,5,COOPERATE,13
Default GPT-3.5-Turbo,6,COOPERATE,11
Suspicious Tit For Tat,6,COOPERATE,16
Default GPT-3.5-Turbo,7,COOPERATE,14
Suspicious Tit For Tat,7,COOPERATE,19
Default GPT-3.5-Turbo,8,COOPERATE,17
Suspicious Tit For Tat,8,COOPERATE,22
Default GPT-3.5-Turbo,9,COOPERATE,20
Suspicious Tit For Tat,9,COOPERATE,25
Default GPT-3.5-Turbo,10,COOPERATE,23
Suspicious Tit For Tat,10,COOPERATE,28
