Agent Name,Round,Choice,Score
Default GPT-4-omni,1,COOPERATE,3
Grim Trigger,1,COOPERATE,3
Default GPT-4-omni,2,COOPERATE,6
Grim Trigger,2,COOPERATE,6
Default GPT-4-omni,3,COOPERATE,9
Grim Trigger,3,COOPERATE,9
Default GPT-4-omni,4,COOPERATE,12
Grim Trigger,4,COOPERATE,12
Default GPT-4-omni,5,COOPERATE,15
Grim Trigger,5,COOPERATE,15
Default GPT-4-omni,6,COOPERATE,18
Grim Trigger,6,COOPERATE,18
Default GPT-4-omni,7,COOPERATE,21
Grim Trigger,7,COOPERATE,21
Default GPT-4-omni,8,COOPERATE,24
Grim Trigger,8,COOPERATE,24
Default GPT-4-omni,9,COOPERATE,27
Grim Trigger,9,COOPERATE,27
Default GPT-4-omni,10,COOPERATE,30
Grim Trigger,10,COOPERATE,30
